objek,deskripsi,kategori,kata_kunci,difficulty,clue_history
Kucing,Hewan mamalia berbulu lembut berkaki empat yang suka mengeong dan biasa dipelihara di rumah sebagai hewan peliharaan pemberantas tikus,Hewan,mamalia berbulu mengeong peliharaan meong hewan rumah berkaki empat tikus,easy,Hewan mamalia berbulu lembut berkaki empat yang suka mengeong dan biasa dipelihara di rumah sebagai hewan peliharaan pemberantas tikus
Gitar,Alat musik petik berdawai enam yang terbuat dari kayu dan dimainkan dengan jari atau pick untuk menghasilkan melodi,Alat Musik,musik petik dawai senar kayu instrumen melodi akustik elektrik,easy,Alat musik petik berdawai enam yang terbuat dari kayu dan dimainkan dengan jari atau pick untuk menghasilkan melodi
Dokter,Profesi di bidang kesehatan yang bertugas mendiagnosis penyakit dan mengobati pasien di rumah sakit atau klinik,Profesi,kesehatan medis rumah sakit klinik obat diagnosa pasien stetoskop jas putih,easy,Profesi di bidang kesehatan yang bertugas mendiagnosis penyakit dan mengobati pasien di rumah sakit atau klinik
Sepeda,Kendaraan roda dua tanpa mesin yang dikayuh dengan kaki menggunakan pedal untuk berpindah tempat,Kendaraan,roda dua pedal kayuh transportasi gowes ban rantai stang tidak bermesin,easy,Kendaraan roda dua tanpa mesin yang dikayuh dengan kaki menggunakan pedal untuk berpindah tempat
Mawar,Bunga berduri dengan kelopak indah berwarna merah pink atau putih yang sering diberikan sebagai simbol cinta,Tumbuhan,bunga duri kelopak merah pink putih harum romantis valentine cinta,easy,Bunga berduri dengan kelopak indah berwarna merah pink atau putih yang sering diberikan sebagai simbol cinta
Pilot,Profesi penerbang yang mengemudikan pesawat terbang dan bertanggung jawab atas keselamatan penumpang di udara,Profesi,penerbangan pesawat terbang cockpit kapten udara bandara navigasi seragam sayap,medium,Profesi penerbang yang mengemudikan pesawat terbang dan bertanggung jawab atas keselamatan penumpang di udara
Pizza,Makanan Italia berbentuk bulat pipih dengan adonan roti yang diberi saus tomat keju dan berbagai topping,Makanan,italia roti bulat pipih keju tomat pepperoni topping oven panggang,easy,Makanan Italia berbentuk bulat pipih dengan adonan roti yang diberi saus tomat keju dan berbagai topping
Harimau,Hewan karnivora besar dari keluarga kucing dengan bulu loreng oranye hitam yang hidup di hutan Asia,Hewan,karnivora buas loreng oranye hitam belang kucing besar predator raja hutan ganas,medium,Hewan karnivora besar dari keluarga kucing dengan bulu loreng oranye hitam yang hidup di hutan Asia
Kamera,Alat elektronik untuk mengambil foto dan merekam video dengan lensa optik dan sensor digital,Elektronik,foto video lensa jepretan fotografer shutter sensor digital DSLR mirrorless,easy,Alat elektronik untuk mengambil foto dan merekam video dengan lensa optik dan sensor digital
Renang,Olahraga air yang dilakukan dengan menggerakkan tangan dan kaki untuk bergerak di kolam atau laut,Olahraga,air kolam berenang gaya basah kompetisi atlet olimpiade freestyle medley,easy,Olahraga air yang dilakukan dengan menggerakkan tangan dan kaki untuk bergerak di kolam atau laut
Laptop,Komputer portabel yang bisa dibawa kemana-mana dengan layar keyboard dan baterai dalam satu perangkat,Elektronik,komputer portabel notebook layar keyboard baterai windows mac processor RAM SSD,easy,Komputer portabel yang bisa dibawa kemana-mana dengan layar keyboard dan baterai dalam satu perangkat
Elang,Burung pemangsa besar dengan penglihatan tajam sayap lebar dan cakar kuat untuk menangkap mangsa,Hewan,burung pemangsa terbang cakar tajam sayap langit predator garuda raptor paruh bengkok,medium,Burung pemangsa besar dengan penglihatan tajam sayap lebar dan cakar kuat untuk menangkap mangsa
Koki,Profesi memasak profesional yang membuat hidangan lezat di restoran atau hotel dengan keahlian kuliner tinggi,Profesi,masak chef dapur restoran kuliner topi putih makanan hidangan memasak resep,easy,Profesi memasak profesional yang membuat hidangan lezat di restoran atau hotel dengan keahlian kuliner tinggi
Piano,"Alat musik keyboard besar dengan tuts hitam putih yang menghasilkan suara dari senar yang dipukul palu, Alat musik dengan tuts hitam putih",Alat Musik,musik keyboard tuts hitam putih klasik grand konser melodi akord,medium,"Alat musik keyboard besar dengan tuts hitam putih yang menghasilkan suara dari senar yang dipukul palu, Alat musik dengan tuts hitam putih, Alat musik dengan tuts hitam putih, Alat musik dengan tuts hitam putih"
Jeruk,Buah bulat berwarna oranye dengan kulit tebal dan daging buah berair yang kaya vitamin C,Makanan,buah oranye bulat segar asam manis vitamin C jus kupas jeruk nipis,easy,Buah bulat berwarna oranye dengan kulit tebal dan daging buah berair yang kaya vitamin C
Arsitek,Profesi yang merancang dan mendesain bangunan gedung dan struktur konstruksi dengan gambar teknis,Profesi,desain bangunan konstruksi rancang gambar blueprint arsitek gedung sketsa denah,medium,Profesi yang merancang dan mendesain bangunan gedung dan struktur konstruksi dengan gambar teknis
Bola,Benda bulat yang digunakan dalam berbagai olahraga seperti sepak bola basket dan voli,Olahraga,bulat tendang lempar sepak basket voli main permainan karet kulit angin,easy,Benda bulat yang digunakan dalam berbagai olahraga seperti sepak bola basket dan voli
Lumba-lumba,Mamalia laut cerdas yang hidup berkelompok bisa melompat tinggi dan berkomunikasi dengan suara klik,Hewan,mamalia laut cerdas pintar melompat dolphin ocean air asin komunikasi sonar,medium,Mamalia laut cerdas yang hidup berkelompok bisa melompat tinggi dan berkomunikasi dengan suara klik
Fotografi,Hobi mengabadikan momen dengan kamera untuk menghasilkan gambar artistik atau dokumentasi,Hobi,foto kamera jepretan memotret seni visual lensa shutter artistik dokumentasi,medium,Hobi mengabadikan momen dengan kamera untuk menghasilkan gambar artistik atau dokumentasi
Kulkas,Peralatan rumah tangga elektronik untuk menyimpan makanan dan minuman agar tetap dingin dan segar,Elektronik,dingin beku es freezer simpan makanan minuman refrigerator lemari es,easy,Peralatan rumah tangga elektronik untuk menyimpan makanan dan minuman agar tetap dingin dan segar
Petani,Profesi yang bekerja di sawah atau ladang menanam padi sayuran dan merawat tanaman untuk panen,Profesi,sawah ladang padi tanaman merawat panen cangkul traktor topi caping kebun,easy,Profesi yang bekerja di sawah atau ladang menanam padi sayuran dan merawat tanaman untuk panen
Gajah,Mamalia darat terbesar dengan belalai panjang telinga lebar dan gading yang hidup di Afrika dan Asia,Hewan,besar raksasa belalai gading telinga lebar afrika asia abu-abu jumbo mamalia,easy,Mamalia darat terbesar dengan belalai panjang telinga lebar dan gading yang hidup di Afrika dan Asia
Catur,Permainan strategi papan dengan 16 bidak per pemain termasuk raja ratu benteng kuda dan pion,Permainan,strategi papan kotak hitam putih raja ratu benteng kuda pion skak mat bidak,medium,Permainan strategi papan dengan 16 bidak per pemain termasuk raja ratu benteng kuda dan pion
Televisi,Perangkat elektronik dengan layar untuk menonton siaran berita film dan hiburan di rumah,Elektronik,layar nonton siaran TV channel film berita remote LED LCD plasma,easy,Perangkat elektronik dengan layar untuk menonton siaran berita film dan hiburan di rumah
Kelinci,Hewan mamalia kecil berbulu lembut dengan telinga panjang yang suka melompat dan makan wortel,Hewan,mamalia telinga panjang melompat lompat wortel kelincahan lucu imut putih,easy,Hewan mamalia kecil berbulu lembut dengan telinga panjang yang suka melompat dan makan wortel
Guru,Profesi mulia yang mengajar dan mendidik siswa di sekolah untuk mentransfer ilmu pengetahuan,Profesi,mengajar sekolah murid kelas pendidik buku papan tulis pengetahuan pelajaran,easy,Profesi mulia yang mengajar dan mendidik siswa di sekolah untuk mentransfer ilmu pengetahuan
Pisang,Buah kuning panjang melengkung dengan kulit mudah dikupas dan daging manis kaya kalium,Makanan,buah kuning melengkung kupas manis kalium energi monyet goreng panggang,easy,Buah kuning panjang melengkung dengan kulit mudah dikupas dan daging manis kaya kalium
Melukis,Hobi seni visual menggunakan kuas cat dan kanvas untuk menciptakan gambar dan ekspresi kreatif,Hobi,seni kuas cat kanvas gambar warna visual artistik pelukis ekspresi,easy,Hobi seni visual menggunakan kuas cat dan kanvas untuk menciptakan gambar dan ekspresi kreatif
Payung,Benda pelindung dari hujan dan panas matahari dengan kain bentang di atas tongkat dan gagang,Alat,hujan panas matahari lindung basah teduh buka lipat portable gagang,easy,Benda pelindung dari hujan dan panas matahari dengan kain bentang di atas tongkat dan gagang
Panda,Beruang hitam putih dari China yang makan bambu dan menjadi simbol konservasi satwa langka,Hewan,beruang hitam putih china bambu lucu imut langka konservasi menggemaskan,easy,Beruang hitam putih dari China yang makan bambu dan menjadi simbol konservasi satwa langka
Programmer,Profesi yang menulis kode komputer dan mengembangkan software aplikasi dan sistem digital,Profesi,kode coding software developer aplikasi komputer bug debug laptop ngoding,medium,Profesi yang menulis kode komputer dan mengembangkan software aplikasi dan sistem digital
Apel,Buah bulat berwarna merah hijau atau kuning dengan daging renyah dan biji di tengahnya,Makanan,buah merah hijau kuning renyah segar sehat biji malang vitamin fiber,easy,Buah bulat berwarna merah hijau atau kuning dengan daging renyah dan biji di tengahnya
Mendaki,Hobi petualangan outdoor naik gunung melewati jalur trekking untuk menikmati alam dan pemandangan,Hobi,gunung naik petualangan outdoor tracking camping alam puncak carrier hiking,medium,Hobi petualangan outdoor naik gunung melewati jalur trekking untuk menikmati alam dan pemandangan
Jam Tangan,Aksesori di pergelangan tangan untuk menunjukkan waktu dengan jarum atau display digital,Alat,waktu tangan pergelangan jarum digital watch aksesori jam arloji smartwatch,easy,Aksesori di pergelangan tangan untuk menunjukkan waktu dengan jarum atau display digital
Singa,Raja hutan dari Afrika dengan surai lebat pada jantan yang hidup berkelompok dan berburu bersama,Hewan,raja hutan surai afrika buas karnivora mengaum predator kucing besar pride,medium,Raja hutan dari Afrika dengan surai lebat pada jantan yang hidup berkelompok dan berburu bersama
Nelayan,Profesi yang menangkap ikan di laut sungai atau danau menggunakan jaring pancing atau perahu,Profesi,ikan laut jaring pancing perahu tangkap air sungai danau jala kapal,easy,Profesi yang menangkap ikan di laut sungai atau danau menggunakan jaring pancing atau perahu
Nasi Goreng,Makanan Indonesia berupa nasi yang digoreng dengan bumbu kecap telur dan sayuran,Makanan,indonesia nasi goreng kecap telur bumbu pedas wajan masak soto bakso,easy,Makanan Indonesia berupa nasi yang digoreng dengan bumbu kecap telur dan sayuran
Berkebun,Hobi menanam dan merawat tanaman bunga sayuran atau buah di halaman rumah atau pot,Hobi,tanam tanaman bunga sayur pot pupuk siram merawat halaman taman,easy,Hobi menanam dan merawat tanaman bunga sayuran atau buah di halaman rumah atau pot
Kipas Angin,Alat elektronik dengan baling-baling berputar untuk menghasilkan angin sejuk di ruangan,Elektronik,angin sejuk baling-baling putar dingin hembus fan cooling AC,easy,Alat elektronik dengan baling-baling berputar untuk menghasilkan angin sejuk di ruangan
Penguin,Burung yang tidak bisa terbang hidup di Antartika dengan bulu hitam putih dan berenang handal,Hewan,burung antartika es salju hitam putih tidak terbang renang dingin kutub,medium,Burung yang tidak bisa terbang hidup di Antartika dengan bulu hitam putih dan berenang handal
Polisi,Profesi penegak hukum yang menjaga keamanan masyarakat dan menangkap pelaku kejahatan,Profesi,hukum keamanan seragam tangkap kejahatan patrol sipil militer pistol satpam,easy,Profesi penegak hukum yang menjaga keamanan masyarakat dan menangkap pelaku kejahatan
Mangga,Buah tropis dengan kulit kuning atau hijau daging oranye manis dan biji besar di tengah,Makanan,buah tropis manis kuning hijau harum oranye biji jus arumanis gedong,easy,Buah tropis dengan kulit kuning atau hijau daging oranye manis dan biji besar di tengah
Merajut,Hobi kerajinan tangan membuat kain dari benang menggunakan jarum rajut untuk sweater atau syal,Hobi,kerajinan benang jarum kain sweater syal rajutan tangan membuat hangat,medium,Hobi kerajinan tangan membuat kain dari benang menggunakan jarum rajut untuk sweater atau syal
Sandal,Alas kaki terbuka ringan untuk dipakai santai di rumah atau ke pantai dengan tali penjepit,Alat,kaki alas terbuka ringan jepit pantai rumah santai nyaman sendal,easy,Alas kaki terbuka ringan untuk dipakai santai di rumah atau ke pantai dengan tali penjepit
Buaya,Reptil besar predator air tawar dengan rahang kuat gigi tajam dan kulit bersisik keras,Hewan,reptil predator air rahang gigi tajam sungai rawa berbahaya buas kuat,medium,Reptil besar predator air tawar dengan rahang kuat gigi tajam dan kulit bersisik keras
Wartawan,Profesi yang mencari menulis dan melaporkan berita untuk media cetak televisi atau online,Profesi,berita media jurnalis liputan wawancara menulis koran TV reporter press,medium,Profesi yang mencari menulis dan melaporkan berita untuk media cetak televisi atau online
Roti,Makanan pokok dari adonan tepung terigu yang dipanggang dengan tekstur lembut atau renyah,Makanan,tepung terigu panggang oven lembut tawar manis renyah bakery sarapan,easy,Makanan pokok dari adonan tepung terigu yang dipanggang dengan tekstur lembut atau renyah
Memancing,Hobi menangkap ikan dengan pancing umpan dan kesabaran di sungai danau atau laut,Hobi,ikan pancing umpan kesabaran sungai danau laut kail joran strike tangkap,easy,Hobi menangkap ikan dengan pancing umpan dan kesabaran di sungai danau atau laut
Tas Ransel,Tas punggung dengan dua tali bahu untuk membawa barang buku atau perlengkapan bepergian,Alat,tas punggung bahu bawa sekolah kuliah travel backpack carrier hiking,easy,Tas punggung dengan dua tali bahu untuk membawa barang buku atau perlengkapan bepergian
Koala,Marsupial Australia berbulu abu-abu yang hidup di pohon eucalyptus dan tidur hingga 20 jam sehari,Hewan,marsupial australia abu-abu eucalyptus tidur malas pohon imut lucu kantong,medium,Marsupial Australia berbulu abu-abu yang hidup di pohon eucalyptus dan tidur hingga 20 jam sehari
Smartphone,"Smartphone adalah alat komunikasi canggih dengan layar sentuh untuk telepon dan internet, gadget portabel dengan kamera aplikasi dan koneksi wifi, alat komunikasi canggih dengan layar sentuh untuk telepon dan internet, elektronik dengan layar touchscreen baterai dan sistem operasi android atau ios, benda tipis persegi panjang dengan layar kaca dan tombol power",,,,"Smartphone adalah alat komunikasi canggih dengan layar sentuh untuk telepon dan internet, alat komunikasi canggih dengan layar sentuh untuk telepon dan internet, alat komunikasi canggih dengan layar sentuh untuk telepon dan internet, alat komunikasi canggih dengan layar sentuh untuk telepon dan internet, gadget portabel dengan kamera aplikasi dan koneksi wifi, gadget portabel dengan kamera aplikasi dan koneksi wifi, gadget portabel dengan kamera aplikasi dan koneksi wifi, alat komunikasi canggih dengan layar sentuh untuk telepon dan internet, alat komunikasi canggih dengan layar sentuh untuk telepon dan internet, alat komunikasi canggih dengan layar sentuh untuk telepon dan internet, elektronik dengan layar touchscreen baterai dan sistem operasi android atau ios, elektronik dengan layar touchscreen baterai dan sistem operasi android atau ios, elektronik dengan layar touchscreen baterai dan sistem operasi android atau ios, benda tipis persegi panjang dengan layar kaca dan tombol power, benda tipis persegi panjang dengan layar kaca dan tombol power, benda tipis persegi panjang dengan layar kaca dan tombol power"
